Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Final_Exam_Score
11.6,98.5,Low,High,Yes,6.2,59.4,Low,Yes,2,49.0
16.2,69.9,Low,High,Yes,8.0,84.9,High,Yes,2,66.2
17.7,78.0,Medium,Low,Yes,5.6,93.2,Medium,Yes,1,67.7
26.8,60.9,High,Medium,Yes,5.7,93.9,High,Yes,2,76.5
22.6,85.6,Medium,Medium,Yes,6.7,83.5,Medium,Yes,4,64.1
9.9,76.6,Low,Medium,Yes,6.8,67.4,Low,Yes,1,44.7
22.4,70.8,Medium,High,Yes,8.5,83.1,Medium,Yes,3,62.8
18.2,68.3,Medium,Low,No,6.0,93.2,Medium,Yes,1,63.9
16.4,86.2,Medium,Medium,Yes,6.3,81.3,Medium,Yes,2,59.0
24.2,76.6,High,Low,No,8.0,70.6,Medium,Yes,0,62.3
26.7,67.2,High,High,Yes,8.2,96.0,Medium,Yes,0,75.0
26.1,87.6,Low,High,Yes,9.1,91.8,Low,Yes,0,67.9
15.5,82.6,High,Low,Yes,7.8,94.1,Medium,Yes,1,57.9
18.6,94.3,Medium,Medium,No,7.4,95.2,Medium,Yes,2,67.9
22.5,64.7,High,Low,No,7.9,69.7,Medium,Yes,2,57.1
26.4,91.4,Low,High,Yes,6.9,93.0,Medium,No,0,76.7
17.6,86.9,Medium,Low,Yes,6.8,78.5,Medium,No,2,60.2
19.4,64.6,Medium,High,No,4.9,51.9,Medium,Yes,1,38.5
13.9,87.8,Medium,High,Yes,8.4,81.8,Medium,Yes,4,69.3
13.3,77.7,Low,Medium,No,7.5,73.5,Medium,Yes,1,46.3
25.4,97.8,Low,Medium,Yes,8.2,63.8,Medium,Yes,1,53.3
28.6,65.7,Low,Medium,No,4.0,98.5,Low,Yes,0,70.7
20.1,85.7,Medium,Medium,Yes,7.1,52.8,High,Yes,1,50.1
26.5,75.3,Low,Medium,Yes,6.1,97.3,Medium,Yes,1,72.4
22.7,98.3,Medium,Medium,No,9.2,58.0,Medium,Yes,0,56.8
16.6,73.2,Low,Medium,Yes,8.0,68.8,Medium,Yes,4,54.9
22.7,98.5,Medium,Medium,Yes,7.5,70.9,Low,Yes,1,61.0
29.7,96.1,Low,High,Yes,6.6,86.6,Medium,Yes,2,74.5
20.3,70.8,High,Low,Yes,7.7,60.8,Medium,Yes,1,50.4
29.9,92.1,High,Medium,Yes,6.0,99.3,Medium,Yes,2,77.5
4.8,99.8,Medium,High,No,7.1,87.5,Low,Yes,1,56.3
25.4,70.1,Medium,Low,No,6.4,89.5,Medium,Yes,1,61.9
21.0,77.5,Low,High,Yes,10.0,55.3,Low,Yes,1,47.1
18.7,80.8,High,High,No,9.1,73.8,High,Yes,1,66.8
21.1,71.8,Medium,Medium,Yes,8.6,97.3,Low,Yes,3,65.6
8.6,60.6,Low,Low,Yes,5.3,63.5,High,Yes,4,45.2
19.2,68.8,Medium,Low,Yes,8.3,57.3,High,Yes,0,47.6
22.6,71.3,Low,Medium,No,7.4,74.3,Medium,Yes,1,56.9
29.4,77.7,Medium,Medium,No,8.8,96.5,High,Yes,2,76.2
17.4,66.8,Medium,High,Yes,7.6,74.3,High,Yes,1,62.9
15.6,94.9,Medium,Medium,Yes,7.2,70.2,Low,Yes,1,52.4
17.5,88.2,Medium,Medium,Yes,7.5,82.5,High,Yes,3,67.1
26.0,63.4,Low,High,Yes,4.9,96.8,Low,Yes,0,68.6
22.5,86.0,Medium,High,Yes,6.2,52.5,Low,Yes,0,52.5
17.3,86.1,Low,Medium,Yes,7.7,57.7,Medium,Yes,1,49.4
23.6,98.2,High,Medium,No,8.7,56.6,Low,Yes,0,57.3
21.1,60.1,Low,Low,No,6.5,54.3,Low,No,2,48.0
26.3,69.9,Medium,High,Yes,7.1,65.1,High,Yes,0,64.2
16.3,97.1,Medium,Medium,Yes,5.1,61.5,High,Yes,1,59.5
18.5,97.3,Medium,High,No,9.1,77.4,Medium,Yes,3,67.3
18.1,88.8,Medium,Medium,No,8.6,66.4,Medium,Yes,1,52.4
11.7,90.6,Medium,High,Yes,8.0,70.3,High,Yes,1,54.2
22.3,63.7,Medium,Low,Yes,7.7,97.1,Low,No,1,61.1
22.1,80.6,Medium,High,No,9.2,57.8,High,Yes,1,59.1
20.5,69.3,Medium,High,No,6.2,69.4,Medium,Yes,1,56.4
19.1,67.2,Medium,Medium,Yes,6.0,62.9,High,Yes,1,54.1
12.0,92.4,Medium,High,Yes,8.6,77.5,Medium,Yes,0,64.1
18.0,65.4,Medium,High,Yes,8.5,86.8,High,Yes,1,71.6
18.4,78.7,Low,High,Yes,5.6,90.8,High,Yes,4,69.7
15.7,97.5,Medium,Medium,No,6.5,75.8,High,Yes,1,64.9
19.5,67.4,Low,Medium,Yes,9.4,92.7,Medium,Yes,4,68.5
22.9,99.1,Low,High,No,7.7,89.3,High,Yes,1,78.5
31.8,99.8,Medium,High,Yes,8.2,57.9,Medium,No,2,74.1
21.5,82.2,High,Medium,Yes,5.7,62.3,Low,Yes,3,64.5
22.0,66.8,High,High,No,8.1,83.6,Medium,Yes,0,64.9
20.1,72.6,Low,Low,No,5.4,98.7,Low,Yes,3,65.7
9.0,77.0,Medium,High,No,4.6,68.8,High,Yes,4,57.9
20.3,72.4,Medium,Medium,Yes,8.1,61.5,Low,Yes,2,61.2
20.9,71.2,Low,Medium,Yes,9.1,93.5,High,Yes,2,67.1
35.3,98.9,High,Medium,No,6.9,60.0,Medium,Yes,1,69.8
19.3,66.1,High,Medium,No,6.5,84.9,Low,Yes,3,59.2
22.3,89.3,High,Medium,No,9.4,51.7,High,Yes,2,52.6
20.3,60.0,Low,Medium,Yes,6.9,50.9,Low,Yes,2,51.4
13.5,83.8,Medium,Medium,Yes,7.1,72.6,Medium,Yes,3,51.4
27.4,96.6,High,Low,Yes,9.4,82.8,Medium,Yes,2,61.3
25.0,71.5,Medium,High,No,6.7,57.1,Medium,Yes,1,58.4
25.2,67.4,High,Medium,No,6.3,88.2,Medium,Yes,1,64.2
15.0,86.1,Low,Medium,Yes,8.3,56.4,Medium,Yes,1,52.0
28.9,88.5,Medium,Medium,Yes,6.3,76.7,High,Yes,1,70.2
12.1,87.5,Medium,High,Yes,7.0,65.4,Low,Yes,1,53.8
24.0,72.8,Low,High,Yes,5.5,87.6,Low,Yes,1,63.3
33.6,70.1,Medium,Low,Yes,7.4,90.2,Medium,Yes,0,71.9
14.6,98.2,Medium,High,No,7.3,53.3,Medium,Yes,2,58.4
17.1,96.9,Low,High,Yes,8.5,59.6,Medium,No,1,63.2
21.1,78.3,Medium,Medium,Yes,8.3,94.6,Medium,Yes,1,72.7
17.5,93.8,Medium,High,Yes,7.9,70.8,Medium,No,1,60.7
11.2,78.1,Medium,Medium,No,7.7,73.8,High,Yes,1,59.1
20.9,77.0,High,Medium,Yes,7.1,58.4,Low,Yes,2,53.0
14.1,66.3,Medium,Medium,No,8.0,99.7,Low,Yes,0,60.3
23.3,77.1,Medium,Medium,No,5.8,96.2,Medium,Yes,4,68.6
15.0,81.5,High,Medium,Yes,4.1,50.1,Low,Yes,2,48.4
29.8,60.9,High,Low,Yes,8.7,77.5,Medium,Yes,0,61.5
15.8,77.8,Low,Low,No,8.1,93.6,Medium,Yes,0,67.8
18.6,91.3,High,Medium,Yes,7.0,71.5,Medium,Yes,3,67.2
25.4,87.2,Low,Medium,Yes,8.6,71.8,Medium,Yes,4,68.0
13.1,85.4,Low,Medium,No,6.2,69.0,Medium,Yes,1,53.6
21.9,96.4,Medium,Medium,No,6.3,51.4,High,Yes,1,53.5
28.3,60.7,Medium,High,Yes,6.1,89.5,High,Yes,2,80.2
10.9,82.3,High,Medium,Yes,7.9,72.8,Medium,Yes,2,50.9
21.6,91.5,High,Medium,No,5.1,76.6,Medium,Yes,0,54.4
22.1,81.7,High,Low,Yes,6.2,62.8,Low,Yes,3,57.8
25.2,73.0,High,Medium,Yes,7.6,89.2,Medium,Yes,4,71.7
13.1,65.5,Medium,Low,Yes,5.6,89.7,Medium,Yes,3,60.4
12.6,95.5,Medium,Medium,Yes,6.3,77.6,Low,Yes,2,58.4
23.6,78.8,High,High,No,4.3,95.2,Low,Yes,1,64.3
22.3,95.1,High,Low,No,8.0,55.8,Low,Yes,2,54.2
22.0,83.4,High,Medium,No,6.3,89.3,Low,Yes,0,61.3
22.6,87.0,High,Low,No,5.8,77.9,Medium,Yes,2,61.3
16.4,92.2,Low,High,Yes,5.5,61.6,High,Yes,3,68.1
21.9,86.4,Medium,High,Yes,6.7,56.6,Medium,Yes,0,58.2
22.3,75.9,High,Low,Yes,5.1,65.1,Medium,Yes,0,43.4
16.2,80.5,High,Medium,Yes,9.7,92.8,Medium,Yes,1,65.3
31.7,92.1,Medium,High,Yes,4.1,89.4,Medium,Yes,0,79.5
23.3,74.9,Medium,Medium,Yes,6.6,82.3,Medium,Yes,1,58.4
13.4,75.5,Medium,Medium,Yes,7.3,54.5,Medium,Yes,4,47.5
24.4,63.8,Medium,Medium,Yes,6.2,97.7,Low,Yes,0,67.5
14.7,96.6,Medium,Medium,Yes,7.5,65.3,Medium,Yes,3,56.9
25.2,63.6,Medium,High,Yes,6.2,80.3,Medium,Yes,0,54.0
27.5,85.9,Medium,High,Yes,9.2,90.2,Low,No,4,79.6
15.6,76.5,Medium,High,Yes,5.7,56.6,Low,Yes,0,45.6
26.3,76.2,Medium,Medium,Yes,4.1,82.6,Low,Yes,1,64.1
23.0,87.2,Medium,Medium,No,5.5,51.6,Medium,Yes,1,53.2
25.4,62.7,Medium,Medium,No,7.7,55.1,Medium,No,1,55.8
31.9,83.7,Medium,High,Yes,7.0,86.2,Low,Yes,1,66.5
19.0,90.9,Low,High,No,8.2,57.8,Low,Yes,1,55.9
16.0,93.1,Low,Medium,No,7.9,72.2,Low,Yes,1,60.9
15.2,66.8,Low,Low,Yes,6.4,62.4,High,Yes,2,46.0
15.6,95.9,Medium,Medium,Yes,6.6,71.1,Medium,Yes,2,57.0
20.0,86.2,High,High,No,6.7,53.9,Low,Yes,2,59.4
22.5,95.3,Low,Medium,No,9.6,87.7,Medium,Yes,1,73.5
22.2,79.4,Low,Low,Yes,8.1,54.0,Low,Yes,1,44.0
25.5,81.7,High,Low,No,9.7,91.9,Medium,No,3,66.0
20.6,96.8,Medium,Medium,Yes,8.3,83.1,Low,Yes,1,64.6
29.2,96.0,High,High,Yes,7.1,70.8,High,Yes,0,71.4
18.9,77.9,High,High,Yes,5.9,93.3,High,Yes,1,70.5
36.8,71.0,Medium,High,Yes,7.5,59.3,Medium,Yes,1,72.8
24.3,75.7,Medium,High,Yes,7.1,63.2,Medium,Yes,1,61.1
15.4,75.5,Medium,Medium,No,7.1,56.9,Medium,Yes,0,43.7
14.1,71.5,Low,Medium,Yes,6.9,69.1,High,Yes,0,57.6
23.4,70.7,Low,Medium,Yes,4.5,99.3,Medium,Yes,0,68.1
19.2,94.4,Low,High,Yes,8.8,58.1,Low,Yes,1,51.4
24.8,62.8,High,Medium,Yes,7.1,91.5,Low,Yes,1,66.1
23.3,87.1,Medium,Medium,No,5.4,82.6,Low,Yes,1,68.8
20.1,66.9,Low,Low,Yes,7.8,50.8,Medium,Yes,0,44.6
15.4,73.8,Medium,Medium,Yes,6.1,97.2,Low,Yes,1,57.5
11.4,62.5,Medium,High,Yes,7.9,98.6,Medium,No,2,64.2
17.8,70.8,Medium,High,Yes,8.3,96.2,Medium,Yes,0,61.5
25.6,90.7,Medium,Medium,Yes,8.5,75.1,High,Yes,0,67.4
21.8,95.4,Medium,Low,Yes,7.0,61.0,Medium,Yes,0,57.6
13.0,68.9,High,High,Yes,6.7,69.6,Medium,Yes,0,43.5
21.5,78.5,Low,High,Yes,6.4,80.7,Medium,Yes,1,67.2
22.8,78.8,Medium,Medium,No,6.3,68.9,High,No,4,64.5
15.2,94.9,Medium,Medium,Yes,7.2,85.4,Low,No,1,58.5
21.4,90.5,Medium,Medium,Yes,6.9,89.8,Low,Yes,2,61.6
20.8,80.5,Medium,Medium,No,6.1,60.5,Medium,Yes,1,50.0
13.6,86.8,High,High,No,5.7,70.2,Medium,Yes,2,65.7
22.6,93.9,High,Low,Yes,7.1,97.9,Medium,Yes,2,75.9
23.9,60.4,Medium,Low,No,6.6,62.5,Medium,Yes,2,57.6
27.0,76.1,Medium,Low,No,5.7,67.3,Low,Yes,1,51.4
26.8,96.3,Medium,Medium,Yes,8.3,51.8,Low,Yes,3,64.8
12.2,89.6,Medium,Low,Yes,9.5,66.6,High,Yes,1,54.1
14.9,81.7,Medium,Medium,Yes,8.5,68.5,Medium,Yes,0,49.5
23.6,81.2,Low,Low,Yes,6.3,55.0,Medium,Yes,3,50.6
23.6,73.9,Medium,Medium,Yes,7.1,50.1,Medium,Yes,1,46.3
23.6,80.8,Medium,Medium,Yes,9.2,78.8,Low,Yes,0,55.9
43.6,86.2,High,Low,No,5.7,65.1,Low,Yes,3,65.4
23.9,76.7,High,Medium,Yes,8.2,50.9,Medium,Yes,1,55.2
27.3,88.6,Low,Medium,Yes,5.3,93.0,Medium,Yes,1,83.2
26.2,94.4,Low,Low,Yes,9.4,79.2,Low,Yes,1,61.8
24.4,66.2,High,Medium,No,6.6,58.6,Low,Yes,0,47.4
18.6,78.1,Medium,High,No,10.0,93.3,Low,Yes,2,58.7
25.1,76.3,High,High,Yes,9.4,62.7,Low,Yes,4,56.7
15.9,87.5,Low,Low,Yes,7.1,61.4,Low,Yes,2,43.1
19.1,70.0,Medium,High,Yes,6.3,94.7,Medium,Yes,2,71.6
17.6,85.6,Medium,Medium,No,7.5,59.0,Low,No,1,57.5
21.0,95.1,High,Low,Yes,7.0,93.9,Medium,Yes,3,67.4
34.4,76.7,Low,Medium,Yes,6.7,90.1,Low,Yes,2,71.2
9.3,96.4,Medium,Medium,Yes,5.0,65.5,Medium,Yes,2,53.1
24.6,99.7,Medium,Medium,No,6.5,51.7,Medium,Yes,1,59.6
10.8,64.2,High,Medium,Yes,5.8,54.1,High,Yes,3,48.9
17.7,69.3,High,High,No,7.9,55.5,Low,Yes,1,55.6
27.0,98.0,High,Medium,Yes,8.5,94.5,Low,Yes,1,69.1
20.9,98.3,High,Medium,Yes,8.2,70.2,High,Yes,1,68.4
14.0,63.9,Low,Medium,Yes,7.6,51.6,High,Yes,2,45.4
16.2,60.6,Low,Medium,No,6.1,77.8,Low,Yes,1,45.1
24.6,66.4,Low,High,No,7.5,60.4,Low,Yes,3,61.4
16.1,99.8,Medium,High,No,8.2,61.8,High,Yes,0,66.8
21.8,67.2,High,High,No,6.4,58.0,Low,Yes,0,50.4
20.8,80.1,High,Medium,No,7.4,88.1,High,Yes,3,68.7
16.6,93.9,Low,Medium,No,7.0,50.0,High,Yes,1,48.7
33.4,60.8,Medium,Medium,Yes,9.4,71.9,Low,Yes,2,63.2
24.3,84.2,High,Medium,No,8.3,54.3,High,Yes,2,50.6
8.3,71.1,Medium,Medium,No,8.0,77.6,Medium,Yes,1,55.2
21.6,94.5,Low,High,Yes,5.0,67.3,Medium,Yes,1,60.6
16.5,71.3,Medium,Medium,No,7.4,51.4,Medium,Yes,2,46.0
25.6,87.5,Medium,Medium,Yes,7.0,73.0,Low,Yes,2,57.8
15.7,87.0,Medium,High,Yes,7.0,78.5,Medium,Yes,2,57.5
19.8,68.9,Medium,High,Yes,5.2,62.4,Low,Yes,2,52.4
23.5,61.4,Low,Medium,Yes,5.8,88.3,High,Yes,3,70.0
25.7,76.4,High,Medium,Yes,7.1,68.6,Medium,Yes,1,59.3
13.3,71.6,Medium,Low,No,8.6,87.5,Low,Yes,3,61.2
18.5,92.4,Medium,Medium,Yes,6.4,79.0,Low,Yes,1,59.9
17.7,92.0,High,Low,Yes,6.7,93.5,High,No,2,73.3
16.6,78.3,Low,Low,No,9.5,77.3,Medium,Yes,2,51.7
31.1,84.3,Low,Medium,Yes,6.8,59.3,High,No,0,60.5
22.9,84.2,High,Medium,Yes,7.0,91.1,Low,Yes,2,73.0
12.9,93.1,Medium,High,Yes,7.1,89.2,Medium,Yes,1,69.4
26.0,77.0,High,High,Yes,5.5,98.6,High,Yes,2,79.8
33.2,71.0,Medium,Low,Yes,7.9,54.7,Low,Yes,3,54.0
26.7,70.6,Low,High,No,6.4,79.6,Medium,Yes,1,61.7
11.4,81.4,Medium,Medium,Yes,7.2,74.6,High,Yes,2,56.8
17.6,78.0,Low,Low,Yes,7.8,83.5,Medium,Yes,0,60.1
28.1,77.6,High,Medium,No,9.7,99.0,Medium,No,2,67.0
16.3,63.6,Medium,Medium,No,5.5,76.6,High,No,0,63.3
23.2,88.7,High,Medium,Yes,8.3,84.3,Medium,Yes,0,70.3
25.1,68.5,High,High,Yes,8.3,67.4,High,Yes,1,67.1
14.9,67.9,Low,Medium,No,6.4,64.9,Medium,Yes,0,50.9
20.1,76.5,High,High,No,8.0,66.8,Medium,Yes,0,56.5
1.1,69.1,Medium,Medium,No,9.3,51.9,Low,No,2,36.8
14.4,83.4,Medium,Low,Yes,6.2,64.2,High,Yes,3,55.0
19.0,74.9,High,Medium,Yes,7.5,58.6,Medium,Yes,2,61.3
13.0,78.0,Medium,Low,Yes,7.7,72.9,Low,Yes,2,50.0
30.3,81.5,Medium,Medium,No,7.9,73.0,Medium,Yes,2,64.8
11.9,68.1,Medium,Medium,No,8.2,88.3,Medium,Yes,3,59.5
17.9,66.2,Medium,Medium,Yes,7.4,75.1,Medium,Yes,3,55.6
21.3,95.2,Low,Low,Yes,7.9,73.2,High,Yes,1,66.8
29.1,77.3,Medium,Medium,No,6.0,61.6,Low,Yes,1,54.0
11.9,76.5,Medium,Low,Yes,7.4,92.6,High,No,0,60.0
27.5,61.4,Low,Medium,Yes,6.6,54.6,Low,Yes,1,54.5
20.6,79.9,Low,High,No,5.6,99.1,Medium,Yes,2,77.3
14.6,82.2,Medium,High,Yes,6.5,73.8,Medium,Yes,2,55.6
23.3,82.4,Medium,Low,Yes,7.6,59.3,Low,Yes,1,55.4
21.7,88.3,High,Medium,Yes,7.8,67.7,Medium,Yes,2,55.1
16.9,67.1,Medium,Medium,Yes,5.6,50.8,High,Yes,2,43.9
20.9,70.1,Medium,High,Yes,6.0,58.3,Medium,No,0,50.6
18.2,92.4,Medium,Medium,No,8.1,66.8,Low,Yes,3,58.8
21.2,97.9,Medium,Low,Yes,7.9,77.7,Medium,Yes,0,60.5
24.5,65.4,Medium,Medium,No,8.4,56.5,Medium,Yes,2,55.1
30.0,79.9,High,Medium,Yes,9.0,83.8,High,Yes,1,70.5
13.1,68.6,High,High,Yes,7.9,92.2,Low,Yes,3,53.7
33.3,62.4,High,High,No,6.7,78.6,High,Yes,3,72.6
8.8,73.0,High,Low,Yes,7.3,64.8,Medium,No,1,39.2
19.6,65.7,Medium,High,Yes,9.4,56.1,Low,Yes,1,47.9
24.0,88.4,Medium,Low,Yes,10.0,50.8,High,Yes,2,51.4
22.2,81.3,High,High,Yes,7.8,86.6,Low,Yes,2,68.3
16.8,65.8,Medium,High,Yes,7.9,81.4,Medium,Yes,1,64.7
19.3,60.4,High,Medium,No,8.1,73.8,Medium,Yes,2,49.3
17.5,92.3,High,High,Yes,7.2,55.1,Medium,Yes,2,47.8
17.0,67.0,High,Low,No,8.7,60.4,Medium,Yes,1,46.1
25.6,84.2,Medium,Low,Yes,8.5,90.8,Medium,Yes,1,72.5
22.6,73.5,High,Low,Yes,7.7,74.0,Low,Yes,2,56.5
16.3,83.4,Medium,Low,Yes,6.8,98.1,Medium,Yes,1,63.5
25.9,72.6,Medium,Medium,Yes,5.2,100.0,High,Yes,1,70.3
22.3,63.5,Medium,Medium,Yes,8.2,90.0,Medium,Yes,3,69.5
25.4,68.9,High,High,No,7.5,62.9,High,Yes,3,69.8
24.3,67.5,High,Medium,Yes,6.2,61.6,Medium,No,1,46.7
15.5,77.1,Medium,Medium,Yes,5.7,62.7,Medium,Yes,3,55.5
17.1,86.3,Medium,Medium,No,8.1,99.3,Medium,Yes,0,77.4
25.0,70.6,Medium,Medium,Yes,5.1,66.8,Low,Yes,0,50.4
24.2,60.5,High,Medium,Yes,7.6,85.3,High,Yes,1,64.5
20.4,80.8,Medium,Medium,Yes,8.3,98.0,High,Yes,1,72.0
21.2,84.2,Medium,High,Yes,7.9,91.0,High,Yes,2,72.3
28.2,98.5,Medium,Medium,Yes,6.7,79.9,Medium,Yes,0,73.0
17.0,83.6,Medium,Medium,Yes,5.6,58.4,High,Yes,3,65.0
23.8,78.8,Low,High,Yes,8.0,58.7,Medium,Yes,3,53.2
19.3,82.9,Medium,Low,No,8.8,74.6,Medium,Yes,3,56.8
19.2,97.1,High,Medium,No,6.5,97.6,High,Yes,3,82.5
27.1,93.1,High,Medium,No,7.9,95.2,Medium,No,0,75.4
25.5,72.9,Low,High,Yes,9.3,58.3,Medium,No,0,56.9
25.4,69.5,High,High,Yes,7.6,64.4,Low,Yes,1,58.2
28.3,70.5,Medium,High,Yes,6.7,79.4,High,Yes,2,71.2
20.6,80.2,Low,Medium,Yes,8.6,73.9,Low,Yes,0,56.9
24.6,89.8,Low,Low,Yes,6.2,56.0,Low,Yes,1,50.3
18.6,80.1,Low,High,Yes,5.5,68.5,Low,No,1,54.2
22.4,62.7,High,Medium,Yes,8.3,97.7,Medium,Yes,1,66.2
19.7,88.9,Low,Low,No,6.7,97.6,Low,Yes,4,68.0
21.1,92.2,Medium,High,Yes,6.8,78.0,Medium,Yes,2,69.2
24.1,71.6,High,Medium,No,6.4,81.8,Medium,Yes,1,64.2
15.6,86.6,Medium,Low,No,6.6,61.1,Medium,Yes,1,43.2
33.1,77.1,High,High,Yes,9.0,87.1,Low,Yes,0,68.3
14.5,95.6,High,Medium,Yes,9.4,52.6,Low,No,0,45.9
13.2,93.8,Low,Medium,Yes,9.5,61.0,High,Yes,2,63.2
27.4,81.0,High,High,No,8.6,50.3,Medium,Yes,0,53.6
25.2,87.7,Medium,High,Yes,7.8,69.3,Low,No,3,64.3
24.2,95.3,Medium,Low,Yes,5.3,92.5,High,Yes,1,72.8
24.3,79.8,Medium,Medium,Yes,7.0,99.1,Low,Yes,0,72.5
20.4,72.5,Low,High,Yes,10.0,83.4,Low,Yes,4,60.3
15.1,90.1,High,Medium,No,6.6,87.2,Medium,Yes,2,61.8
21.0,68.8,Medium,Medium,Yes,9.2,63.1,Low,Yes,1,46.7
16.4,75.5,Low,Low,Yes,7.3,76.0,Low,Yes,1,51.9
26.4,94.6,High,High,Yes,4.0,86.8,High,Yes,1,70.0
19.6,89.0,Medium,High,No,8.0,74.9,Low,Yes,1,65.9
15.5,76.2,Medium,Low,Yes,8.8,54.4,Low,Yes,0,43.0
18.6,68.6,Medium,High,No,7.1,87.0,High,Yes,0,67.0
23.0,74.2,High,High,No,8.8,61.0,Medium,Yes,0,63.4
17.1,71.4,Low,Medium,No,5.0,54.9,Low,Yes,1,43.6
15.6,67.0,Medium,Medium,Yes,5.4,73.9,Medium,Yes,1,57.2
22.0,89.7,Medium,Low,Yes,7.5,53.7,Low,Yes,1,51.4
22.0,70.1,Low,High,Yes,7.8,81.5,Medium,Yes,2,71.0
17.5,78.2,Medium,Medium,Yes,9.0,82.0,Medium,No,0,61.7
17.7,75.4,Medium,Medium,Yes,8.0,62.8,High,Yes,1,53.3
21.9,99.3,Medium,Medium,Yes,5.6,98.2,Medium,Yes,1,75.5
11.8,75.6,Low,Medium,Yes,7.5,91.2,Medium,Yes,2,59.1
12.1,63.2,High,High,No,8.0,55.5,Low,Yes,2,42.2
16.2,63.6,High,Medium,Yes,4.8,87.4,Medium,Yes,3,61.8
19.2,83.6,Medium,High,Yes,7.1,67.7,Low,Yes,2,56.6
22.4,84.0,Medium,Medium,No,6.8,87.5,Medium,Yes,1,63.2
29.4,76.8,Medium,Low,Yes,6.3,90.0,Medium,Yes,1,59.4
25.6,77.3,Medium,High,No,7.8,57.6,High,Yes,0,60.0
19.5,62.2,Low,Medium,Yes,5.7,83.1,High,Yes,1,63.4
20.4,80.7,Medium,Medium,No,7.7,93.1,Medium,Yes,2,70.1
